0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,12,0,0,0,0,0,10,1,1,1,1,1,1,1,10,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1
1,12,15,15,1,0,0,0,10,1,1,1,1,1,10,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,15,15,15,15,0,0,0,0,0,0,0,1,12,0,11,1
1,12,0,11,1,0,0,0,0,10,1,1,1,10,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12,15,11,1,0,0,0,0,0,10,1,10,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,13,1
1,12,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,1
1,0,0,0,0,15,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,11,1,12,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,9,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,12,11,1
1,0,15,0,0,0,0,1,1,15,0,1,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,1
1,0,0,0,0,0,0,1,1,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,11,1,12,0,0,9,0,0,1,12,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
